package,42638f7-allocations,42638f7-time,7bb8472-allocations,7bb8472-time,8.0.2-allocations,8.0.2-time,f6f0fd9-allocations,f6f0fd9-time
nats-1.1,2.5909576e7,5.9e-2,2.5909056e7,5.7999999999999996e-2,2.9485104e7,0.10800000000000001,2.5908824e7,6.1e-2
network-2.6.3,7.88965584e8,1.2650000000000001,8.11723112e8,1.2,1.300205976e9,1.984,8.27483936e8,1.648
network-info-0.2.0,1.7289204e8,0.378,1.72301464e8,0.40700000000000003,3.95670472e8,0.719,1.75299224e8,0.405
network-uri-2.6.1,4.39811184e8,1.103,4.37617608e8,0.929,8.11689352e8,1.3940000000000001,4.42567736e8,1.079
old-locale-1.0.0,9.6258296e7,0.22499999999999998,9.6082272e7,0.293,2.20978496e8,0.423,9.6457464e7,0.299
old-time-1.1.0,2.54301048e8,0.535,2.53955176e8,0.5780000000000001,4.96912168e8,0.8780000000000001,2.5768424e8,0.542
optparse-applicative-0.14.0,8.34124424e8,1.254,8.63914584e8,1.495,1.357326472e9,2.434,8.96228544e8,1.3119999999999998
parallel-3.2.1,3.95404048e8,0.771,3.945932e8,0.765,6.82550944e8,1.309,3.970994e8,0.857
parsec-3.1,9.9787716e8,1.903,1.01188184e9,1.572,1.66502844e9,2.745,1.04424884e9,1.77
path-pieces-0.2,2.26295608e8,0.54,2.30889072e8,0.539,5.85625848e8,1.249,2.317898e8,0.532
pem-0.2,1.9503612e8,0.514,1.99353728e8,0.444,4.38905776e8,0.795,1.99573008e8,0.515
persistent-2.7,2.00301032e9,3.532,2.174672056e9,4.019,3.360054928e9,6.098000000000001,2.236803168e9,4.154
persistent-template-2.5,0,0,0,0,8.538005728e9,15.599,0,0
polyparse-1,8.25438464e8,1.645,8.329906e8,1.7469999999999999,1.37116936e9,2.658,8.63486032e8,1.9499999999999997
prelude-extras-0.4.0,4.87343896e8,1.061,4.92177224e8,0.9119999999999999,9.0000184e8,1.505,5.27547304e8,1.326
primitive-0.6.2,8.11736496e8,1.5859999999999999,8.17044888e8,1.43,1.414986328e9,2.1639999999999997,8.68687344e8,1.594
profunctors-5,1.397193992e9,2.2119999999999997,1.434856264e9,2.191,2.533408616e9,3.777,1.662198648e9,2.4979999999999998
psqueues-0.2.2,6.52206392e8,1.1280000000000001,6.65580696e8,1.246,1.11010168e9,1.9050000000000002,6.81521216e8,1.358
random-1,2.78543952e8,0.5469999999999999,2.8216828e8,0.5720000000000001,5.97393064e8,1.1099999999999999,2.97659168e8,0.603
readable-0.3,1.99734168e8,0.477,1.99004096e8,0.46599999999999997,4.47320304e8,1.224,2.01075184e8,0.479
reflection-2.1,4.90167544e8,1.059,4.94996872e8,1.026,8.26768136e8,1.6560000000000001,4.9877972e8,1.0819999999999999
regex-base-0.93,2.96540584e8,0.647,3.08324392e8,0.6859999999999999,6.51526848e8,1.2690000000000001,3.20539352e8,0.831
regex-posix-0.95,5.0105288e8,0.9510000000000001,5.16257848e8,0.95,9.32206728e8,1.6019999999999999,5.364742e8,1.202
regex-tdfa-1.2,1.330302368e9,2.234,1.367146064e9,2.431,2.059165168e9,3.596,1.390376528e9,2.416
resource-pool-0.2.3,3.74049752e8,0.894,3.72389584e8,0.921,7.85503904e8,1.5579999999999998,3.72098024e8,0.843
resourcet-1.1,6.06435184e8,1.286,6.1005876e8,1.409,1.108256784e9,2.233,6.44254888e8,1.655
safe-0.3,2.65673072e8,0.617,2.65296528e8,0.514,4.65182968e8,0.9189999999999999,2.65296048e8,0.575
scientific-0.3.4,5.38140712e8,1.1600000000000001,5.36127664e8,1.153,1.048989664e9,2.065,5.40322144e8,1.016
securemem-0.1,2.22217424e8,0.649,2.28855224e8,0.5,4.91018064e8,1.0,2.29237176e8,0.692
semigroupoids-5,1.301082944e9,2.263,1.333951312e9,2.652,2.43422968e9,3.954,1.548225544e9,2.49
semigroups-0.18,1.74362056e8,0.42300000000000004,1.75326768e8,0.589,3.88595144e8,0.779,1.76174608e8,0.41700000000000004
setenv-0.1.1,5.81408e7,0.14300000000000002,5.7555816e7,0.13,1.72910168e8,0.332,5.7273864e7,0.14300000000000002
shakespeare-2.0,8.065854e9,14.552,8.145985576e9,13.267,2.910286324e10,56.61,8.16946344e9,14.108999999999998
silently-1.2,1.02036232e8,0.25,1.01817856e8,0.276,2.5066316e8,0.51,1.01817376e8,0.23299999999999998
simple-sendfile-0.2,2.32747816e8,0.58,2.41349304e8,0.54,5.41704072e8,1.184,2.41487312e8,0.602
skein-1.0.9,4.60620184e8,0.899,4.70180784e8,0.946,9.0713892e8,1.766,4.86447544e8,1.223
snap-core-1.0.2,1.917821248e9,3.0389999999999997,1.96846728e9,3.224,3.010589432e9,4.74,1.98368732e9,3.4859999999999998
snap-server-1.0.2,1.186735576e9,2.678,1.21593e9,2.719,2.000855696e9,3.952,1.215662456e9,2.6399999999999997
socks-0.5,4.64801104e8,1.045,4.79121328e8,1.069,9.06083344e8,1.92,4.98449968e8,1.234
statistics-0.14.0,1.2470596088e10,25.871,1.2555604104e10,25.975,1.16255149904e11,233.93,1.2765349416e10,27.612000000000002
stm-2.4.4,3.27376432e8,0.6910000000000001,3.36817416e8,0.804,6.25455568e8,1.254,3.43105288e8,0.7
